zzzzsys_user_id;sus_zzzzsys_access_id;sus_language;sus_name;sus_code;sus_position;sus_department;sus_team;sus_email;sus_additional1;sus_additional2;sus_login_name;sus_login_password;sus_expires_on;sus_json
1;NULL;NULL;user1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login1;password1;NULL;NULL
2;NULL;NULL;user2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login2;password2;NULL;NULL
3;NULL;NULL;user3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login3;password3;NULL;NULL
4;NULL;NULL;user4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login4;password4;NULL;NULL
5;NULL;NULL;user5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login5;password5;NULL;NULL
6;NULL;NULL;user6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login6;password6;NULL;NULL
7;NULL;NULL;user7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login7;password7;NULL;NULL
8;NULL;NULL;user8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login8;password8;NULL;NULL
9;NULL;NULL;user9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login9;password9;NULL;NULL
10;NULL;NULL;user10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;login10;password10;NULL;NULL
